Classe,Luminosité
carvi,143.40872531467014
carvi,143.08235677083334
carvi,162.4335734049479
carvi,157.27167426215277
carvi,151.6457994249132
carvi,178.8336927625868
carvi,151.78058539496527
carvi,149.09528266059027
carvi,155.74268934461804
carvi,149.09528266059027
carvi,130.6472913953993
carvi,104.47460259331598
carvi,130.4649658203125
carvi,104.47460259331598
carvi,153.35689290364584
carvi,153.35293918185764
carvi,153.0944078233507
carvi,158.7115681966146
carvi,171.0643785264757
carvi,139.9558580186632
carvi,140.27958170572916
carvi,140.0973917643229
carvi,140.27958170572916
carvi,157.79305691189236
carvi,134.05636257595486
carvi,141.43752712673611
carvi,158.89413113064236
carvi,158.95235188802084
carvi,181.53528510199652
carvi,152.28172471788196
carvi,182.57520887586804
carvi,156.05548773871527
carvi,148.5405476888021
carvi,148.76067437065973
carvi,115.48819308810764
carvi,144.72528754340277
carvi,173.11381022135416
carvi,121.88397216796875
carvi,152.47369384765625
carvi,121.88397216796875
carvi,154.4054158528646
carvi,154.4555867513021
carvi,141.03313530815973
carvi,147.74096001519098
carvi,147.74096001519098
carvi,141.20372856987848
carvi,152.05809190538196
carvi,121.56035698784723
carvi,157.5222371419271
carvi,132.75421820746527
carvi,140.1573689778646
carvi,131.47958034939236
carvi,171.18766276041666
carvi,164.11700439453125
carvi,164.63614908854166
carvi,146.29117160373264
carvi,159.04720730251736
carvi,158.66814507378473
carvi,152.92503526475696
carvi,152.92503526475696
carvi,148.0318400065104
carvi,153.37581380208334
carvi,113.03019883897569
carvi,166.85706922743054
carvi,141.3117879231771
carvi,119.32853190104167
carvi,149.41107177734375
carvi,148.94598388671875
carvi,120.07283528645833
carvi,150.64874267578125
carvi,156.3475138346354
carvi,150.26089816623264
carvi,114.81653510199652
carvi,143.99053276909723
carvi,146.71923828125
carvi,112.08437771267361
clou_girofle,86.54412078857422
clou_girofle,240.00761024746194
clou_girofle,140.14247512817383
clou_girofle,244.80099011209813
clou_girofle,241.49023900169206
clou_girofle,241.20861754441626
clou_girofle,183.57621383666992
clou_girofle,91.30181121826172
clou_girofle,243.58520383333334
clou_girofle,222.93859275
clou_girofle,250.66180203045684
clou_girofle,223.21944858333333
clou_girofle,141.51349258422852
clou_girofle,245.21187366666666
clou_girofle,246.9503529505076
clou_girofle,148.32887649536133
clou_girofle,156.1328239440918
clou_girofle,114.57955932617188
clou_girofle,86.99670791625977
clou_girofle,160.11300659179688
clou_girofle,231.4278275
clou_girofle,244.36783541666668
clou_girofle,111.25142288208008
clou_girofle,244.37048191666668
clou_girofle,97.86674499511719
clou_girofle,75.30083084106445
clou_girofle,244.3528896996616
clou_girofle,107.98829650878906
clou_girofle,244.7053127643824
clou_girofle,122.39570617675781
clou_girofle,244.04084575930625
clou_girofle,247.34875740270726
clou_girofle,244.52581175
clou_girofle,246.03367766666668
clou_girofle,140.90507888793945
clou_girofle,250.52827913279134
clou_girofle,189.49581146240234
clou_girofle,243.03510283333333
clou_girofle,162.2694854736328
clou_girofle,232.76139958333334
clou_girofle,170.14166641235352
clou_girofle,240.75001321912015
clou_girofle,248.32771124153976
clou_girofle,106.78024291992188
clou_girofle,141.82998275756836
clou_girofle,165.86456298828125
clou_girofle,250.18843855752962
clou_girofle,243.84178035109983
clou_girofle,134.95880889892578
clou_girofle,245.85009385575296
clou_girofle,248.63236701565143
clou_girofle,104.78419876098633
clou_girofle,247.84193501480541
clou_girofle,246.03835659898476
clou_girofle,117.46599578857422
clou_girofle,219.65315925
clou_girofle,111.27609252929688
clou_girofle,247.7772855858714
clou_girofle,106.94198608398438
clou_girofle,246.07833386209813
clou_girofle,225.01331283333334
clou_girofle,151.2283706665039
clou_girofle,140.12778854370117
clou_girofle,105.81814193725586
clou_girofle,250.8341899323181
clou_girofle,71.26907348632812
clou_girofle,101.21988296508789
clou_girofle,157.98910522460938
clou_girofle,237.51635733333333
clou_girofle,108.04620361328125
clou_girofle,248.39109163494078
clou_girofle,244.61360518292682
clou_girofle,146.37137985229492
clou_girofle,236.54330233333334
clou_girofle,248.45503251903554
clou_girofle,154.60941314697266
clou_girofle,143.32886505126953
clou_girofle,127.32123565673828
clou_girofle,141.28472518920898
clou_girofle,147.76785278320312
